CMS Chronic Conditions Warehouse (CCW) Data Dictionary
TAF Annual Provider File — Base File
Version — December 2025
RIF SAS name	RIF  label	Type	Length	RIF sequence
CMS Chronic Conditions Warehouse (CCW) Data Dictionary
TAF Annual Provider File — Identifiers File
Version — December 2025
RIF SAS Name	RIF  Label	Type	Length	RIF Sequence
SUBMTG_STATE_PRVDR_ID	Submitting State Provider Identification Number	CHAR	30	1
STATE_CD	Submitting State Alpha Abbreviation	CHAR	2	2
SUBMTG_STATE_CD	Submitting State Entity Code	CHAR	2	3
PRVDR_LCTN_ID	Provider Location Identifier	CHAR	5	4
PRVDR_NUM_SYS	Provider Number System/Nomenclature	CHAR	1	5
PRVDR_NUM	Provider Number	CHAR	30*	6
PRVDR_NUM_ISSG_ENT_ID	Provider Number Issuing Entity Identifier	CHAR	18	7
PRVDR_NUM_ACTV_IND_01	Provider Number Active Indicator - January	CHAR	1	8
PRVDR_NUM_ACTV_IND_02	Provider Number Active Indicator - February	CHAR	1	9
PRVDR_NUM_ACTV_IND_03	Provider Number Active Indicator - March	CHAR	1	10
PRVDR_NUM_ACTV_IND_04	Provider Number Active Indicator - April	CHAR	1	11
PRVDR_NUM_ACTV_IND_05	Provider Number Active Indicator - May	CHAR	1	12
PRVDR_NUM_ACTV_IND_06	Provider Number Active Indicator - June	CHAR	1	13
PRVDR_NUM_ACTV_IND_07	Provider Number Active Indicator - July	CHAR	1	14
PRVDR_NUM_ACTV_IND_08	Provider Number Active Indicator - August	CHAR	1	15
PRVDR_NUM_ACTV_IND_09	Provider Number Active Indicator - September	CHAR	1	16
PRVDR_NUM_ACTV_IND_10	Provider Number Active Indicator - October	CHAR	1	17
PRVDR_NUM_ACTV_IND_11	Provider Number Active Indicator - November	CHAR	1	18
PRVDR_NUM_ACTV_IND_12	Provider Number Active Indicator - December	CHAR	1	19
CCW_APR_LINK_KEY	CCW Key to Link APR Base Record to Related Supplement Records	NUM	15	20
RFRNC_YR	Reference Yr	CHAR	4	21
* Field length expanded from 12 to 30 in 2023 data.

CMS Chronic Conditions Warehouse (CCW) Data Dictionary
TAF Annual Provider File — Bed Type File
Version — December 2025
RIF SAS name	RIF  label	Type	Length	RIF sequence
SUBMTG_STATE_PRVDR_ID	Submitting State Provider Identification Number	CHAR	30	1
STATE_CD	Submitting State Alpha Abbreviation	CHAR	2	2
SUBMTG_STATE_CD	Submitting State Entity Code	CHAR	2	3
PRVDR_LCTN_ID	Provider Location Identifier	CHAR	5	4
BED_TYPE_CD	Bed Type Code	CHAR	1	5
BED_CNT	Bed Count	NUM	11	6
PRVDR_BED_ACTV_IND_01	Provider Bed Type and Count for Facility Active Indicator - January	CHAR	1	7
PRVDR_BED_ACTV_IND_02	Provider Bed Type and Count for Facility Active Indicator - February	CHAR	1	8
PRVDR_BED_ACTV_IND_03	Provider Bed Type and Count for Facility Active Indicator - March	CHAR	1	9
PRVDR_BED_ACTV_IND_04	Provider Bed Type and Count for Facility Active Indicator - April	CHAR	1	10
PRVDR_BED_ACTV_IND_05	Provider Bed Type and Count for Facility Active Indicator - May	CHAR	1	11
PRVDR_BED_ACTV_IND_06	Provider Bed Type and Count for Facility Active Indicator - June	CHAR	1	12
PRVDR_BED_ACTV_IND_07	Provider Bed Type and Count for Facility Active Indicator - July	CHAR	1	13
PRVDR_BED_ACTV_IND_08	Provider Bed Type and Count for Facility Active Indicator - August	CHAR	1	14
PRVDR_BED_ACTV_IND_09	Provider Bed Type and Count for Facility Active Indicator - September	CHAR	1	15
PRVDR_BED_ACTV_IND_10	Provider Bed Type and Count for Facility Active Indicator - October	CHAR	1	16
PRVDR_BED_ACTV_IND_11	Provider Bed Type and Count for Facility Active Indicator - November	CHAR	1	17
PRVDR_BED_ACTV_IND_12	Provider Bed Type and Count for Facility Active Indicator - December	CHAR	1	18
CCW_APR_LINK_KEY	CCW Key to Link APR Base Record to Related Supplement Records	NUM	15	19
RFRNC_YR	Reference Yr	CHAR	4	20
