CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare-Medicaid Linked Enrollee Analytic Data Set (MMLEADS) — Beneficiary Summary File
August 2021
File Sequence	Long SAS NAME	Label	Type	Length
38	MDCR_MC_PTA_PTB_CAPTD_SPEND_08	Medicare PTA/PTB Managed Care Capitated Payment Amount - August	Num	8
39	MDCR_MC_PTA_PTB_CAPTD_SPEND_09	Medicare PTA/PTB Managed Care Capitated Payment Amount - September	Num	8
40	MDCR_MC_PTA_PTB_CAPTD_SPEND_10	Medicare PTA/PTB Managed Care Capitated Payment Amount - October	Num	8
41	MDCR_MC_PTA_PTB_CAPTD_SPEND_11	Medicare PTA/PTB Managed Care Capitated Payment Amount - November	Num	8
42	MDCR_MC_PTA_PTB_CAPTD_SPEND_12	Medicare PTA/PTB Managed Care Capitated Payment Amount - December	Num	8
43	MDCR_TOTAL_FFS_USE_01	Medicare FFS Use (Claim Count) - January	Num	8
44	MDCR_TOTAL_FFS_USE_02	Medicare FFS Use (Claim Count) - February	Num	8
45	MDCR_TOTAL_FFS_USE_03	Medicare FFS Use (Claim Count) - March	Num	8
46	MDCR_TOTAL_FFS_USE_04	Medicare FFS Use (Claim Count) - April	Num	8
47	MDCR_TOTAL_FFS_USE_05	Medicare FFS Use (Claim Count) - May	Num	8
48	MDCR_TOTAL_FFS_USE_06	Medicare FFS Use (Claim Count) - June	Num	8
49	MDCR_TOTAL_FFS_USE_07	Medicare FFS Use (Claim Count) - July	Num	8
50	MDCR_TOTAL_FFS_USE_08	Medicare FFS Use (Claim Count) - August	Num	8
51	MDCR_TOTAL_FFS_USE_09	Medicare FFS Use (Claim Count) - September	Num	8
52	MDCR_TOTAL_FFS_USE_10	Medicare FFS Use (Claim Count) - October	Num	8
53	MDCR_TOTAL_FFS_USE_11	Medicare FFS Use (Claim Count) - November	Num	8
54	MDCR_TOTAL_FFS_USE_12	Medicare FFS Use (Claim Count) - December	Num	8
55	MDCR_TOTAL_SPEND_01	Medicare Payment Amount - January	Num	8
56	MDCR_TOTAL_SPEND_02	Medicare Payment Amount - February	Num	8
57	MDCR_TOTAL_SPEND_03	Medicare Payment Amount - March	Num	8
58	MDCR_TOTAL_SPEND_04	Medicare Payment Amount - April	Num	8
59	MDCR_TOTAL_SPEND_05	Medicare Payment Amount - May	Num	8
60	MDCR_TOTAL_SPEND_06	Medicare Payment Amount - June	Num	8
